,importance,stddev,p_value,n,p99_high,p99_low
Episode_Length_minutes,8.197288112172014,0.16375607952246488,1.910113281197891e-08,5,8.534464143258317,7.860112081085712
length_vs_genre_avg,2.2312692458561596,0.07063516122584416,1.2035856546823683e-07,5,2.376708019101851,2.085830472610468
length_vs_podcast_avg,1.2805127443262887,0.06078378938723601,6.074255789297389e-07,5,1.4056674067958574,1.15535808185672
above_genre_avg_length,0.7737940205590117,0.06059983834600367,4.477364239890609e-06,5,0.8985699252922095,0.6490181158258139
Host_Popularity_percentage,0.5437081916570875,0.04328658585213308,4.78046003347066e-06,5,0.6328358702108262,0.45458051310334885
Episode_Length_missing,0.5211530799756691,0.0501048444007048,1.0127571439762188e-05,5,0.6243196471192648,0.4179865128320733
ads_per_minute,0.3912692440060269,0.06466069226608118,8.633534879205755e-05,5,0.52440650308763,0.2581319849244238
Genre,0.30904689370008176,0.026970921559454953,6.8907962231016386e-06,5,0.36458039396875086,0.25351339343141266
Guest_Popularity_percentage,0.24814748984847376,0.03651469366820097,5.467350989663934e-05,5,0.32333174879799953,0.172963230898948
Episode_Sentiment,0.21465084810542442,0.025810563636201163,2.4610156001765593e-05,5,0.2677951553722631,0.16150654083858573
guest_pop_vs_podcast_avg,0.14763221346411015,0.011435036450231629,4.2849015730232e-06,5,0.1711771115641368,0.12408731536408348
missing_length_x_ads,0.13494183371556118,0.02346665672006322,0.00010545998177082135,5,0.1832600042458355,0.08662366318528686
day_cos,0.11864020056771948,0.010842804287217867,8.279403043859734e-06,5,0.14096568445858246,0.09631471667685652
total_popularity,0.10845218467258774,0.01232946798714149,1.970417166518807e-05,5,0.13383872966946941,0.08306563967570607
day_sin,0.1047304691340134,0.007172510425716233,2.6233892795887937e-06,5,0.11949876723519234,0.08996217103283446
ads_vs_podcast_avg,0.10455898900385989,0.017866079552739736,9.843113192918552e-05,5,0.1413454937384125,0.0677724842693073
Number_of_Ads,0.10205089657584451,0.023966955531721776,0.00033969041178792084,5,0.15139918927418822,0.052702603877500795
day_of_week_num,0.10026173421308862,0.010668296064465555,1.5152799071480178e-05,5,0.12222790326134461,0.07829556516483263
popularity_diff,0.09204499092710598,0.00427806797218017,5.583692317718778e-07,5,0.10085359201100803,0.08323638984320393
popularity_ratio,0.08203969757361165,0.009568154082797459,2.1805296707623378e-05,5,0.10174065907603494,0.062338736071188366
host_pop_x_weekend,0.07668839929586468,0.01481765661116569,0.00015924498703954218,5,0.10719815906003366,0.0461786395316957
podcast_avg_ads,0.07469688557531136,0.012265680140555407,8.419443969033472e-05,5,0.09995209051443055,0.04944168063619216
length_x_evening,0.07377090828419064,0.0112496168674565,6.292809237987865e-05,5,0.09693402490051234,0.05060779166786894
above_podcast_avg_length,0.07137828096409252,0.006666634388405774,9.026283380859415e-06,5,0.08510497331249933,0.0576515886156857
podcast_host_pop,0.06835199490522825,0.012210284573211603,0.00011717183167718743,5,0.09349313960553846,0.04321085020491805
podcast_std_listening,0.06808717928940027,0.014329943869500057,0.00022216409905184912,5,0.09759273177757327,0.038581626801227266
Podcast_Name_target_enc,0.0662493849924509,0.007646921411551637,2.092784636546524e-05,5,0.08199450187052157,0.05050426811438022
hour_cos,0.061040083821396605,0.0058961385632570135,1.0318291688502208e-05,5,0.0731803146164381,0.048899853026355106
Genre_target_enc,0.060254747530164465,0.013989531629356946,0.0003249693455428567,5,0.08905938651088563,0.0314501085494433
podcast_frequency,0.05876089888136917,0.010422746652816494,0.0001139604110704964,5,0.0802214782971862,0.03730031946555214
hour_sin,0.0543602352893771,0.009383285346891247,0.00010242746970762037,5,0.07368054950941202,0.03503992106934217
is_morning,0.053119933030809106,0.010823901026880925,0.00019589289295941954,5,0.07540649484736747,0.030833371214250734
is_night,0.052897296103039435,0.006549695630697202,2.7637956520043066e-05,5,0.0663832099330589,0.039411382273019956
podcast_avg_guest_pop,0.050556039466137646,0.009924703295773166,0.00016942074579526475,5,0.07099114072611173,0.03012093820616355
podcast_med_listening,0.04875823154732188,0.010585811213393725,0.00025065297763939427,5,0.07055456314715917,0.026961899947484585
podcast_avg_listening,0.047687491863182885,0.004435916529894857,8.881837652601039e-06,5,0.0568211053091184,0.03855387841724737
missing_guest_x_episode_length,0.04738593175164674,0.012208361132224945,0.0004849782364327161,5,0.07252311606038063,0.022248747442912848
title_tfidf_24,0.04531229422021994,0.0164312426619092,0.0017556923001808833,5,0.0791444499649991,0.011480138475440785
podcast_frequency_norm,0.044712705741341806,0.010712314381944905,0.0003668286964771016,5,0.06676950911368558,0.022655902368998032
